date,sampling,tank,temp,cond,percDO,concDO,pH,light
2016-06-02,initial,1,23.26,990,103.8,8.84,7.63,
2016-06-02,initial,2,23.59,991,112.2,9.48,8.13,
2016-06-02,initial,3,24.51,996,121.2,10.09,8.45,
2016-06-02,initial,4,24.85,986,125.9,10.41,9.12,
2016-06-02,initial,5,25.31,988,107.9,8.83,7.74,
2016-06-02,initial,6,26.49,1014,111.6,8.95,7.81,
2016-06-02,initial,7,26.52,1020,111.4,8.91,7.51,
2016-06-02,initial,8,26.04,1006,120.6,9.75,8.3,
2016-06-02,initial,9,26.26,1016,114.3,9.2,8.05,
2016-06-02,initial,10,26.12,1016,122.6,9.9,8.57,
2016-06-02,initial,11,26.67,1003,101,8.09,7.77,
2016-06-02,initial,12,26.5,1018,101.2,8.12,7.78,
2016-06-02,initial,13,26.85,1020,119.9,9.56,8.58,
2016-06-02,initial,14,26.47,1023,117,9.4,8.37,
2016-06-02,initial,15,26.42,1023,122.4,9.83,7.96,
2016-06-02,initial,16,27.09,1045,108.9,8.64,7.89,
2016-06-02,initial,17,26.98,1050,102.5,8.15,7.7,
2016-06-02,initial,18,26.47,1010,107,8.58,7.69,
2016-06-02,initial,19,26.87,1040,120.3,9.59,7.91,
2016-06-02,initial,20,26.57,1029,115.7,9.25,7.97,
2016-06-02,initial,21,26.56,1056,119.2,9.57,8.24,
2016-06-02,initial,22,26.95,1070,108.3,8.6,7.86,
2016-06-02,initial,23,27.2,1067,107.7,8.53,7.72,
2016-06-02,initial,24,27.44,1059,115.2,9.08,8.03,
2016-06-02,initial,25,27.27,1053,116.3,9.13,8.22,
2016-06-02,initial,26,27.58,1058,106.2,8.35,7.62,
2016-06-02,initial,27,27.05,1027,110,8.75,7.74,
2016-06-02,initial,28,27.01,1030,113.5,9.01,7.93,
2016-06-02,initial,29,25.91,1030,122.2,9.91,8.56,
2016-06-02,initial,30,25.41,1007,116.9,9.58,8.22,
2016-06-16,second,1,23.71,998,99.4,8.39,,71.04
2016-06-16,second,2,24.09,990,99.5,8.34,,84.99
2016-06-16,second,3,24.38,995,105.3,8.78,,84.99
2016-06-16,second,4,24.44,1003,108.1,9,,205.3
2016-06-16,second,5,24.49,999,96.3,8.01,,1263.2
2016-06-16,second,6,25.22,1027,94.5,7.75,,1194.6
2016-06-16,second,7,25.3,1007,98.5,8.07,,1232.3
2016-06-16,second,8,25.2,969,102,8.38,,1239.9
2016-06-16,second,9,25.17,998,92,7.55,,1240.6
2016-06-16,second,10,24.99,987,98.5,8.09,,1241
2016-06-16,second,11,25.44,1036,92.1,7.51,,1294.1
2016-06-16,second,12,25.61,1034,98,7.98,,1182.8
2016-06-16,second,13,25.75,1058,97.6,7.94,,1182.8
2016-06-16,second,14,25.54,1067,102.6,8.38,,1174.5
2016-06-16,second,15,25.59,1064,102.1,8.32,,1199.4
2016-06-16,second,16,26.02,1087,104.6,8.46,,1196.2
2016-06-16,second,17,26.1,1088,105.7,8.55,,518.7
2016-06-16,second,18,26,1088,105.7,8.55,,563
2016-06-16,second,19,25.87,1075,99.9,8.1,,1248.5
2016-06-16,second,20,25.83,1072,95.1,7.71,,1365.8
2016-06-16,second,21,25.78,1088,98.8,8.02,,1136.8
2016-06-16,second,22,25.84,1083,71.9,5.83,,1062.3
2016-06-16,second,23,26.14,1093,100.2,8.09,,1169.7
2016-06-16,second,24,26.32,1092,105.3,8.47,,1238.6
2016-06-16,second,25,26.81,1089,101.8,8.12,,1218
2016-06-16,second,26,26.97,1080,99.5,7.92,,1048
2016-06-16,second,27,25.82,1090,91.7,7.44,,1170.5
2016-06-16,second,28,25.81,1080,94.7,7.69,,1291.5
2016-06-16,second,29,24.82,1005,100.2,8.27,,1404.7
2016-06-16,second,30,24.58,1012,100,8.3,,1859.6
